id,ekegusii,kiswahili,english,source,source_url,source_type
1,"“Omonene abasesenie, abarende;",,"""'""The LORD bless you and keep you;",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
2,"Enyongo ende yonsi omonto oria omorwaire arakune goika yaatwe, na egekorero kende gionsi keroiseirie omote arakune goika gesibigwe namache.",,"""'A clay pot that the man touches must be broken, and any wooden article is to be rinsed with water.",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
3,"Oragererigwe omonto oria ogokora emeremo y’Omonene nobworo, na oragererigwe oria ogotanga omoro oye toitera amanyinga.",,"""A curse on him who is lax in doing the LORD's work! A curse on him who keeps his sword from bloodshed!",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
4,"“Omosani nigo agwenerete kororera omonto bwerusirie moyo amabera, onye taibo, rirorio otigire koiroka Omonguru.",,"""A despairing man should have the devotion of his friends, even though he forsakes the fear of the Almighty.",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
5,"“Omobusuri akamanora kogenda kobusura embusuro yaye: Ekero akobusura, echinde chikagwa enchera ensemo, chigatiringwa namagoro, chinyoni chia igoro chigachiria.",,"""A farmer went out to sow his seed. As he was scattering the seed, some fell along the path; it was trampled on, and the birds of the air ate it up.",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
6,Ogokora gw’okogechia na ogw’okoirokia gwakorekanire ase ense eye.,,"""A horrible and shocking thing has happened in the land:",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
7,Ememera emeke nigo ekobotia ribomba rigima.,,"""A little yeast works through the whole batch of dough.""",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
8,"Barabwo bakairaneria, bakamotebia, “Omonto nachicha oumerana naintwe, ototebia ng’a toirane gocha asore, aye omoruoti gwatotomete, na kogotebia ng’a aya naro Omonene atebire: Nase ki ogotoma koboria Baali‐Sebubu, enyasae y’Ekironi? Nekiagera okagete ng’a Nyasae tari ase Abaisraeli? Ase ayio togoika korwa ase oborere obwo kwariina, korende ekeene, goika okwe.”",,"""A man came to meet us,"" they replied. ""And he said to us, 'Go back to the king who sent you and tell him, ""This is what the LORD says: Is it because there is no God in Israel that you are sending men to consult Baal-Zebub, the god of Ekron? Therefore you will not leave the bed you are lying on. You will certainly die!"" '""",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
9,"“Erio omonto oyomo ore korokwa Anania, omoiroki Nyasae ase ogotunyana amachiko, ore gokwanwa buya n’Abayahudi bonsi abamenyete agwo,",,"""A man named Ananias came to see me. He was a devout observer of the law and highly respected by all the Jews living there.",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
10,"“Omosacha, gose omokungu, orarigie ogosemigwa korwa ase emeika y’abanto bakwete, gose oyore omorogi, goika aitwe akwe. Abanto abwo baakwe amagena bakwe; okomocha kw’ogoiteka kw’amanyinga abo nakobe okwabo.”",,"""'A man or woman who is a medium or spiritist among you must be put to death. You are to stone them; their blood will be on their own heads.'""",KnoxDevelopers HuggingFace Dataset,https://huggingface.co/datasets/KnoxDevelopers/english_kisii_pair_sentences,research
